fid,station_id,date_from,date_to,altitude,latitude,longitude,name,state
"1","216",2004-10-01,2022-02-21,"298",51.1143,7.8807,Attendorn-Neulisternohl,Nordrhein-Westfalen
"2","389",2009-11-01,2022-02-21,"436",51.0148,8.4318,"Berleburg, Bad-Arfeld",Nordrhein-Westfalen
"3","390",2004-07-01,2022-02-21,"610",50.9837,8.3683,"Berleburg, Bad-Stünzel",Nordrhein-Westfalen
"4","613",2004-11-01,2022-02-21,"206",51.5677,9.2324,Borgentreich,Nordrhein-Westfalen
"5","644",2005-01-01,2022-02-21,"150",51.7049,9.1738,Brakel,Nordrhein-Westfalen
"6","796",2004-11-01,2022-02-21,"412",50.7556,8.1257,Burbach-Würgendorf,Nordrhein-Westfalen
"7","934",2004-10-01,2022-02-21,"88",51.7835,8.5658,Delbrück,Nordrhein-Westfalen
"8","1300",2004-06-01,2022-02-21,"351",51.254,8.1565,Eslohe,Nordrhein-Westfalen
"9","2483",1995-10-12,2022-02-21,"839",51.1803,8.4891,Kahler Asten,Nordrhein-Westfalen
"10","2947",2006-10-01,2022-02-21,"286",51.1333,8.0348,Lennestadt-Theten,Nordrhein-Westfalen
"11","3028",1995-09-01,2022-02-21,"157",51.7854,8.8388,"Lippspringe, Bad",Nordrhein-Westfalen
"12","3031",2004-07-01,2022-02-21,"92",51.6336,8.3945,Lippstadt-Bökenförde,Nordrhein-Westfalen
"13","3098",1995-09-01,2022-02-21,"387",51.2452,7.6425,Lüdenscheid,Nordrhein-Westfalen
"14","3215",2007-06-01,2022-02-21,"375",51.1683,8.7125,Medebach-Berge,Nordrhein-Westfalen
"15","3499",2006-07-01,2022-02-21,"292",51.2915,7.853,Neuenrade-Blintrop,Nordrhein-Westfalen
"16","4127",2005-01-01,2022-02-21,"347",50.9906,7.6958,Reichshof-Eckenhagen,Nordrhein-Westfalen
"17","4313",2004-08-01,2022-02-21,"370",51.4966,8.4342,Rüthen,Nordrhein-Westfalen
"18","4368",2004-10-01,2022-02-21,"93",51.7098,8.5796,Salzkotten,Nordrhein-Westfalen
"19","4400",2004-08-01,2022-02-21,"171",51.5439,8.1808,"Sassendorf, Bad-Beusingsen",Nordrhein-Westfalen
"20","4488",2006-08-01,2022-02-21,"443",51.2127,8.2672,Schmallenberg-Sellinghausen,Nordrhein-Westfalen
"21","4692",2008-03-01,2018-12-01,"229",50.8534,7.9966,Siegen (Kläranlage),Nordrhein-Westfalen
"22","5347",1995-09-01,2022-02-21,"236",51.5039,9.1118,Warburg,Nordrhein-Westfalen
"23","5360",2007-07-01,2022-02-21,"331",51.4319,8.2665,Warstein-Hirschberg,Nordrhein-Westfalen
"24","5468",2006-07-01,2020-10-01,"418",50.9377,7.8475,Wenden-Dörnscheid,Nordrhein-Westfalen
"25","5480",2003-09-10,2022-02-21,"85",51.5763,7.8879,Werl,Nordrhein-Westfalen
"26","5619",2004-12-01,2022-02-21,"360",51.1637,7.4234,Wipperfürth-Gardeweg,Nordrhein-Westfalen
"27","5699",2004-11-01,2022-02-21,"312",51.5427,8.7784,Wünnenberg-Eilern,Nordrhein-Westfalen
"32","6264",2004-06-01,2022-02-21,"457",51.414,8.65,Brilon-Thülen,Nordrhein-Westfalen
"33","6276",2004-11-01,2019-11-02,"235",51.4895,7.7813,Fröndenberg-Hohenheide,Nordrhein-Westfalen
"34","6313",2004-12-01,2022-02-21,"440",51.2488,7.4672,Breckerfeld-Wengeberg,Nordrhein-Westfalen
"35","7330",2005-10-01,2022-02-21,"159",51.4633,7.978,Arnsberg-Neheim,Nordrhein-Westfalen
"36","13700",2008-05-01,2022-02-21,"203",51.3329,7.3412,Gevelsberg-Oberbröking,Nordrhein-Westfalen
"37","13713",2007-11-01,2022-02-21,"386",51.0899,7.6289,Meinerzhagen-Redlendorf,Nordrhein-Westfalen
"38","14143",2011-04-18,2022-02-21,"54",51.6073,7.5309,Lünen-Seseke (WV NRW),Nordrhein-Westfalen
"39","14145",2011-04-18,2022-02-21,"71",51.514,7.3817,Dortmund /Oespeler Bach (WV NRW),Nordrhein-Westfalen
"40","14170",2012-09-11,2022-02-21,"348",51.3384,8.2709,Meschede / Hennetalsperre (WV NRW),Nordrhein-Westfalen
"41","14171",2012-09-11,2022-02-21,"310",51.3541,7.9625,Sundern / Sorpetalsperre (WV NRW),Nordrhein-Westfalen
"42","14172",2012-09-11,2022-02-21,"113",51.3665,7.5456,Hagen-Hohenlimburg (WV NRW),Nordrhein-Westfalen
"43","14173",2012-09-11,2022-02-21,"85",51.383,7.3848,Wetter (WV NRW),Nordrhein-Westfalen
"44","14182",2016-06-01,2022-02-21,"193",51.2901,7.2759,Schwelm (Klärwerk),Nordrhein-Westfalen
"45","14183",2016-06-01,2022-02-21,"297",51.1433,7.3656,Hückeswagen/Talsperre,Nordrhein-Westfalen
"46","14185",2017-08-01,2022-02-21,"304",51.605,8.8175,Lichtenau-Ebbinghausen (HRB) (WV NRW),Nordrhein-Westfalen
"47","14186",2017-08-01,2022-02-21,"291",51.5319,8.7289,Gollentaler Grund (HRB) (WV NRW),Nordrhein-Westfalen
"48","14187",2017-08-01,2021-01-07,"226",51.5831,8.8478,Husen-Dalheim (HRB) (WV NRW),Nordrhein-Westfalen
